season,team,champion share,champion,playoffs,predicted champion share,prediction rank,make finals
1961,St. Louis Hawks,62.5,FALSE,1,55.66333592,2,FALSE
1950,Syracuse Nationals,60,FALSE,1,55.61647097,1,TRUE
1991,Boston Celtics,33.33333333,FALSE,1,55.5986018,4,FALSE
1968,Boston Celtics,100,TRUE,1,55.58051606,2,TRUE
2011,Boston Celtics,31.25,FALSE,1,55.45094424,4,FALSE
2011,Chicago Bulls,56.25,FALSE,1,55.34293586,5,FALSE
1981,Milwaukee Bucks,25,FALSE,1,55.32588132,3,FALSE
2015,Atlanta Hawks,50,FALSE,1,55.13878609,2,FALSE
1966,Philadelphia 76ers,9.090909091,FALSE,1,55.0700257,2,FALSE
1963,Los Angeles Lakers,75,FALSE,1,54.91437968,2,TRUE
1954,Minneapolis Lakers,100,TRUE,1,54.74445872,1,TRUE
1986,Milwaukee Bucks,46.66666667,FALSE,1,54.67816459,3,FALSE
1980,Philadelphia 76ers,100,TRUE,1,54.56448288,3,TRUE
1968,Los Angeles Lakers,83.33333333,FALSE,1,54.50523232,3,TRUE
1950,Minneapolis Lakers,100,TRUE,1,54.38669604,2,TRUE
2021,Utah Jazz,37.5,FALSE,1,54.36260909,2,FALSE
1978,Portland Trail Blazers,14.28571429,FALSE,1,54.28583988,1,FALSE
1997,Miami Heat,53.33333333,FALSE,1,54.04070057,5,FALSE
1962,Los Angeles Lakers,87.5,FALSE,1,53.45423186,2,TRUE
1974,Boston Celtics,100,TRUE,1,53.44391072,2,TRUE
2005,Detroit Pistons,93.75,FALSE,1,52.98256869,4,TRUE
2001,Los Angeles Lakers,100,TRUE,1,52.65144609,2,TRUE
2014,Los Angeles Clippers,37.5,FALSE,1,52.63624894,3,FALSE
2005,Phoenix Suns,56.25,FALSE,1,52.57725921,5,FALSE
1983,Boston Celtics,16.66666667,FALSE,1,52.01594562,3,FALSE
2014,Miami Heat,81.25,FALSE,1,51.98191811,4,TRUE
1969,Philadelphia 76ers,8.333333333,FALSE,1,51.9486003,1,FALSE
2015,San Antonio Spurs,18.75,FALSE,1,51.88060898,3,FALSE
1995,Orlando Magic,73.33333333,FALSE,1,51.78088005,4,TRUE
1964,Cincinnati Royals,50,FALSE,1,51.4722817,2,FALSE
1969,Los Angeles Lakers,91.66666667,FALSE,1,51.36407626,2,TRUE
2008,San Antonio Spurs,56.25,FALSE,1,50.94964329,4,FALSE
2020,Boston Celtics,62.5,FALSE,1,50.78044057,4,FALSE
1950,Rochester Royals,0,FALSE,1,50.68564171,3,FALSE
2011,Dallas Mavericks,100,TRUE,1,50.61933647,6,TRUE
1957,Boston Celtics,100,TRUE,1,50.4530308,1,TRUE
2004,Los Angeles Lakers,81.25,FALSE,1,50.25522241,4,TRUE
1997,New York Knicks,40,FALSE,1,50.10811998,6,FALSE
1999,Portland Trail Blazers,46.66666667,FALSE,1,49.87760908,3,FALSE
2020,Los Angeles Clippers,43.75,FALSE,1,49.65588775,5,FALSE
1981,Phoenix Suns,25,FALSE,1,49.60928326,4,FALSE
2007,Detroit Pistons,62.5,FALSE,1,49.53978456,4,FALSE
1980,Seattle SuperSonics,58.33333333,FALSE,1,49.4478196,4,FALSE
1994,Chicago Bulls,40,FALSE,1,49.44516659,4,FALSE
2000,Indiana Pacers,86.66666667,FALSE,1,49.21487976,3,TRUE
2000,San Antonio Spurs,6.666666667,FALSE,1,49.21456962,4,FALSE
1956,Philadelphia Warriors,100,TRUE,1,49.17596344,1,TRUE
2021,Milwaukee Bucks,100,TRUE,1,48.93404372,3,TRUE
1995,Seattle SuperSonics,6.666666667,FALSE,1,48.86381584,5,FALSE
1987,Atlanta Hawks,26.66666667,FALSE,1,48.67982436,3,FALSE
1979,Washington Bullets,75,FALSE,1,48.60718108,1,TRUE
1994,Phoenix Suns,40,FALSE,1,48.53893133,5,FALSE
1972,Boston Celtics,41.66666667,FALSE,1,48.48801605,3,FALSE
1951,Minneapolis Lakers,33.33333333,FALSE,1,48.07723819,1,FALSE
1960,St. Louis Hawks,87.5,FALSE,1,47.7686919,2,TRUE
2016,Oklahoma City Thunder,68.75,FALSE,1,47.65615028,4,FALSE
1971,New York Knicks,58.33333333,FALSE,1,47.61578988,2,FALSE
1953,New York Knicks,66.66666667,FALSE,1,47.37031567,2,TRUE
2022,Golden State Warriors,100,TRUE,1,47.31951795,2,TRUE
1972,Chicago Bulls,0,FALSE,1,47.23714174,4,FALSE
1992,Utah Jazz,60,FALSE,1,47.06721434,3,FALSE
1976,Boston Celtics,100,TRUE,1,46.8736177,2,TRUE
1978,Philadelphia 76ers,42.85714286,FALSE,1,46.75576915,2,FALSE
2021,Philadelphia 76ers,43.75,FALSE,1,46.64546617,4,FALSE
1952,Minneapolis Lakers,100,TRUE,1,46.61718217,1,TRUE
2022,Boston Celtics,87.5,FALSE,1,46.48714969,3,TRUE
2009,San Antonio Spurs,6.25,FALSE,1,46.35633611,5,FALSE
1998,Phoenix Suns,6.666666667,FALSE,1,46.22941452,6,FALSE
1989,Cleveland Cavaliers,13.33333333,FALSE,1,45.99496602,3,FALSE
2023,Denver Nuggets,100,TRUE,1,45.92519142,3,TRUE
2013,Los Angeles Clippers,12.5,FALSE,1,45.81324598,4,FALSE
1993,Seattle SuperSonics,66.66666667,FALSE,1,45.8056,4,FALSE
1996,Utah Jazz,66.66666667,FALSE,1,45.71873976,5,FALSE
2015,Los Angeles Clippers,43.75,FALSE,1,45.59309813,4,FALSE
